payment_batch_line_id,payment_batch_id,transaction_date,market_code,channel_type,customer_name,customer_number,item_description,line_total,payment_batch_total,invoice_ref,reservation_ref,acquirer_reference,primary_reference,reference_parse_status,receipt_line_id,receipt_ref,receipt_date,receipt_channel,receipt_status,receipt_exception_type,reference_resolution_method,match_rule,receipt_amount,variance_amount,match_status,workflow_queue,reconciliation_target,review_reason
pb004_line001,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001063,RES 1200001063 INV 100660001063 payment evidence,102.95,3056.55,100660001063,1200001063,,100660001063,PARSED,receipt_ref_006_line001,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,102.95,,MATCH,READY,receipt_ref_006,
pb004_line005,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001067,RES 1200001067 INV 100660001067 payment evidence,102.95,3056.55,100660001067,1200001067,,100660001067,PARSED,receipt_ref_006_line005,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,102.95,,MATCH,READY,receipt_ref_006,
pb004_line009,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001071,RES 1200001071 INV 100660001071 payment evidence,102.95,3056.55,100660001071,1200001071,,100660001071,PARSED,receipt_ref_006_line009,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,102.95,,MATCH,READY,receipt_ref_006,
pb004_line004,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001066,RES 1200001066 INV 100660001066 payment evidence,454.80,3056.55,100660001066,1200001066,,100660001066,PARSED,receipt_ref_006_line004,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,454.80,,MATCH,READY,receipt_ref_006,
pb004_line008,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001070,RES 1200001070 INV 100660001070 payment evidence,454.80,3056.55,100660001070,1200001070,,100660001070,PARSED,receipt_ref_006_line008,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,454.80,,MATCH,READY,receipt_ref_006,
pb004_line012,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001074,RES 1200001074 INV 100660001074 payment evidence,454.80,3056.55,100660001074,1200001074,,100660001074,PARSED,receipt_ref_006_line012,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,454.80,,MATCH,READY,receipt_ref_006,
pb004_line003,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001065,RES 1200001065 INV 100660001065 payment evidence,290.35,3056.55,100660001065,1200001065,,100660001065,PARSED,receipt_ref_006_line003,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,290.35,,MATCH,READY,receipt_ref_006,
pb004_line007,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001069,RES 1200001069 INV 100660001069 payment evidence,290.35,3056.55,100660001069,1200001069,,100660001069,PARSED,receipt_ref_006_line007,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,290.35,,MATCH,READY,receipt_ref_006,
pb004_line011,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001073,RES 1200001073 INV 100660001073 payment evidence,290.35,3056.55,100660001073,1200001073,,100660001073,PARSED,receipt_ref_006_line011,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,290.35,,MATCH,READY,receipt_ref_006,
pb004_line002,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001064,RES 1200001064 INV 100660001064 payment evidence,170.75,3056.55,100660001064,1200001064,,100660001064,PARSED,receipt_ref_006_line002,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,170.75,,MATCH,READY,receipt_ref_006,
pb004_line006,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001068,RES 1200001068 INV 100660001068 payment evidence,170.75,3056.55,100660001068,1200001068,,100660001068,PARSED,receipt_ref_006_line006,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,170.75,,MATCH,READY,receipt_ref_006,
pb004_line010,payment_batch_004,2026-03-28,GB,CARD_PRESENT,Portfolio Customer,CU001072,RES 1200001072 INV 100660001072 payment evidence,170.75,3056.55,100660001072,1200001072,,100660001072,PARSED,receipt_ref_006_line010,receipt_ref_006,2026-03-28,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,170.75,,MATCH,READY,receipt_ref_006,
pb003_line004,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001051,RES 1200001051 INV 100660001051 payment evidence,519.25,4310.15,100660001051,1200001051,,100660001051,PARSED,receipt_ref_004_line004,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,519.25,,MATCH,READY,receipt_ref_004,
pb003_line008,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001055,RES 1200001055 INV 100660001055 payment evidence,519.25,4310.15,100660001055,1200001055,,100660001055,PARSED,receipt_ref_004_line008,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,519.25,,MATCH,READY,receipt_ref_004,
pb003_line012,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001059,RES 1200001059 INV 100660001059 payment evidence,519.25,4310.15,100660001059,1200001059,,100660001059,PARSED,receipt_ref_005_line002,receipt_ref_005,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,519.25,,MATCH,READY,receipt_ref_005,
pb003_line003,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001050,RES 1200001050 INV 100660001050 payment evidence,330.60,4310.15,100660001050,1200001050,,100660001050,PARSED,receipt_ref_004_line003,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,330.60,,MATCH,READY,receipt_ref_004,
pb003_line007,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001054,RES 1200001054 INV 100660001054 payment evidence,330.60,4310.15,100660001054,1200001054,,100660001054,PARSED,receipt_ref_004_line007,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,330.60,,MATCH,READY,receipt_ref_004,
