receipt_line_id,receipt_ref,transaction_date,transaction_time,market_code,channel_type,contract_type,card_brand,transaction_status,transaction_type,source_capture_method,your_reference,acquirer_reference,gross_amount,net_amount,terminal_id
r1_line1,receipt1,2026-04-29,08:40:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN10001,,1500.00,1500.00,WEB-GB-01
r1_line2,receipt1,2026-04-29,08:40:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN10002,,2200.50,2200.50,WEB-GB-01
r1_line3,receipt1,2026-04-29,08:40:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN10006,,560.00,560.00,WEB-GB-01
r2_line1,receipt2,2026-04-25,10:15:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN10003,,1840.20,1840.20,WEB-GB-02
r2_line2,receipt2,2026-04-25,10:15:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN10004,,1005.30,1005.30,WEB-GB-02
r2_line3,receipt2,2026-04-25,10:15:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN10007,,745.25,745.25,WEB-GB-02
r2_line4,receipt2,2026-04-25,10:15:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Refund,PORTAL_CSV,TKN10008,,-68.29,-68.29,WEB-GB-02
r2_line5,receipt2,2026-04-25,10:15:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Chargeback,PORTAL_CSV,CHB 1201199999,,-310.00,-310.00,WEB-GB-02
r3_line1,receipt3,2026-03-24,14:10:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200706681 INV 100550001001,,228.53,228.53,TILL-DE-01
r3_line2,receipt3,2026-03-24,14:10:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200666992 INV 100440006692,,217.00,217.00,TILL-DE-01
r3_line3,receipt3,2026-03-24,14:10:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200675644 INV 100440006744,,125.92,125.92,TILL-DE-01
r4_line1,receipt4,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200695464 INV 100440006801,,394.36,394.36,TILL-DE-02
r4_line2,receipt4,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200687430 INV 100440006745,,253.81,253.81,TILL-DE-02
r4_line3,receipt4,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200711111 INV 100440007111,,410.44,410.44,TILL-DE-02
r4_line4,receipt4,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Rejected,Payment,PORTAL_CSV,RES 1200799999 INV 100440009999,,312.00,312.00,TILL-DE-02
r5_line1,receipt5,2026-03-28,15:00:00,GB,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200900001 INV 100770000001,,217.00,217.00,TILL-GB-03
r5_line2,receipt5,2026-03-28,15:00:00,GB,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200900002 INV 100770000002,,188.40,188.40,TILL-GB-03
r5_line3,receipt5,2026-03-28,15:00:00,GB,CARD_PRESENT,Card Present,VISA,Accepted,Payment,PORTAL_CSV,RES 1200900003 INV 100770000003,,95.60,95.60,TILL-GB-03
