receipt_line_id,receipt_ref,transaction_date,transaction_time,market_code,channel_type,contract_type,card_brand,transaction_status,transaction_type,source_capture_method,your_reference,acquirer_reference,gross_amount,net_amount,terminal_id,reservation_ref,invoice_ref,receipt_exception_type,reference_resolution_method,linked_payment_batch_line_count,linked_payment_batch_total,linked_statuses,linked_payment_batches
receipt_ref_007_line006,receipt_ref_007,2026-02-15,10:30:00,ES,CARD_PRESENT,Card Present,AMEX,Accepted,Payment,TERMINAL_EXPORT,RES 1200001080 INV 100660001080,RA00001080,459.80,459.80,POS-ES-01,1200001080,100660001080,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,459.80,MATCH,payment_batch_005
receipt_ref_002_line010,receipt_ref_002,2026-04-27,09:10:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000023,,448.80,448.80,WEB-GB-01,1200001023,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_002_line006,receipt_ref_002,2026-04-27,10:42:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000019,,448.80,448.80,WEB-GB-01,1200001019,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_002_line002,receipt_ref_002,2026-04-27,11:14:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000015,,448.80,448.80,WEB-GB-01,1200001015,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_001_line011,receipt_ref_001,2026-04-28,10:17:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000011,,448.80,448.80,WEB-GB-01,1200001011,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_001_line007,receipt_ref_001,2026-04-28,11:49:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000007,,448.80,448.80,WEB-GB-01,1200001007,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_001_line003,receipt_ref_001,2026-04-28,12:21:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000003,,448.80,448.80,WEB-GB-01,1200001003,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_004_line006,receipt_ref_004,2026-03-24,10:30:00,DE,CARD_PRESENT,Card Present,AMEX,Accepted,Payment,TERMINAL_EXPORT,RES 1200001053 INV 100660001053,RA00001053,223.10,223.10,POS-DE-01,1200001053,100660001053,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,223.10,MATCH,payment_batch_003
receipt_ref_005_line004,receipt_ref_005,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001061 INV 100660001061,RA00001061,223.10,223.10,POS-DE-01,1200001061,100660001061,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,223.10,MATCH,payment_batch_003
receipt_ref_010_line007,receipt_ref_010,2026-05-02,11:35:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001108 INV 100660001108,RA00001108,236.10,236.10,POS-DE-01,1200001108,100660001108,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,236.10,MATCH,payment_batch_007
